80	NetBeans Platform 7.0: A Framework for Building Pluggable Enterprise Applications	37739	http://cdn.dzone.com/sites/all/files/refcardz/rc080-010d-NetBeansPlat7-update.pdf	rc080-010d-NetBeansPlat7-update.pdf
81	Essential F#	16267	http://cdn.dzone.com/sites/all/files/refcardz/rc081-010d-fsharp.pdf	rc081-010d-fsharp.pdf
82	Getting Started with Cloud Computing	16541	http://cdn.dzone.com/sites/all/files/refcardz/rc082-010d-cloud-computing-1.pdf	rc082-010d-cloud-computing-1.pdf
83	Contexts and Dependency Injection for the Java EE Platform	16925	http://cdn.dzone.com/sites/all/files/refcardz/rc083-010d-cdi-java_5.pdf	rc083-010d-cdi-java_5.pdf
84	Continuous Integration: Patterns and Anti-patterns	16959	http://cdn.dzone.com/sites/all/files/refcardz/rc084-010d-continuous-integration_1_0.pdf	rc084-010d-continuous-integration_1_0.pdf
85	Vaadin: A Familiar Way to Build Web Apps with Java	40705	http://cdn.dzone.com/sites/all/files/refcardz/rc085-010d-vaadin7.pdf	rc085-010d-vaadin7.pdf
86	Spring Web Flow	17863	http://cdn.dzone.com/sites/all/files/refcardz/rc086-010d-springwebflow.pdf	rc086-010d-springwebflow.pdf
87	Continuous Integration: Servers and Tools	18527	http://cdn.dzone.com/sites/all/files/refcardz/rc087-010d-ci_servers_tools_0.pdf	rc087-010d-ci_servers_tools_0.pdf
88	Getting Started with Caucho Resin	18899	http://cdn.dzone.com/sites/all/files/refcardz/rc088-010d-caucho_resin_1.pdf	rc088-010d-caucho_resin_1.pdf
89	Getting Started with the Zend Framework	19239	http://cdn.dzone.com/sites/all/files/refcardz/rc089-010d-zendframework-2.pdf	rc089-010d-zendframework-2.pdf
90	Getting Started with Adobe ColdFusion Builder	19601	http://cdn.dzone.com/sites/all/files/refcardz/rc090-010d-coldfusion_builder.pdf	rc090-010d-coldfusion_builder.pdf
91	Getting Started with Adobe Flash Builder 4	19969	http://cdn.dzone.com/sites/all/files/refcardz/rc091-010d-flashbuilder4.pdf	rc091-010d-flashbuilder4.pdf
92	Getting Started with Silverlight and Expression Blend	20371	http://cdn.dzone.com/sites/all/files/refcardz/rc092-010d-silverlightblend_1.pdf	rc092-010d-silverlightblend_1.pdf
93	Getting Started with Lean Software Development	20647	http://cdn.dzone.com/sites/all/files/refcardz/rc093-010d-leadsd_0.pdf	rc093-010d-leadsd_0.pdf
94	Getting Started with Git	21049	http://cdn.dzone.com/sites/all/files/refcardz/rc094-020d-Git_2.pdf	rc094-020d-Git_2.pdf
95	Getting Started with Java GUI Development	21369	http://cdn.dzone.com/sites/all/files/refcardz/rc095-010d-javaguidev_1.pdf	rc095-010d-javaguidev_1.pdf
96	Getting Started with PHP and Flex	41693	http://cdn.dzone.com/sites/all/files/refcardz/rc96-010D-FlashBuilderFlexPHP-update_1.pdf	rc96-010D-FlashBuilderFlexPHP-update_1.pdf
97	Getting Started with JBoss Enterprise Application Platform 5	22213	http://cdn.dzone.com/sites/all/files/refcardz/rc097-010d-jbosseap_2.pdf	rc097-010d-jbosseap_2.pdf
98	Getting Started with Maven Repository Management	22557	http://cdn.dzone.com/sites/all/files/refcardz/rc098-010d-repositorymanagement_0.pdf	rc098-010d-repositorymanagement_0.pdf
99	Getting Started with Java EE Security	22841	http://cdn.dzone.com/sites/all/files/refcardz/rc099-010d-javaeesecurity_5.pdf	rc099-010d-javaeesecurity_5.pdf
100	Getting Started with Fitnesse	23191	http://cdn.dzone.com/sites/all/files/refcardz/rc100-010d-fitnesse_1.pdf	rc100-010d-fitnesse_1.pdf
101	JDBC Best Practices	23827	http://cdn.dzone.com/sites/all/files/refcardz/rc101-010d-jdbc_0.pdf	rc101-010d-jdbc_0.pdf
